value,count
Emblems,85
Scrolls,85
Muses,85
Praying,85
Buffalos,85
Avalokiteshvara,85
Restaurants,84
Allegory,84
Burials,84
Poets,84
Snails,84
Nursing,84
World War II,84
Hair,84
Wars,83
Minerva,83
Saint Anne,82
Hammers,82
Princesses,82
Geese,82
Archangel Gabriel,82
Clowns,82
Baskets,81
Fear,80
Alexander The Great,80
Ox,80
Roofs,79
Jackets,79
Gods,79
Crowns,79
Wells,78
Science,77
Shiva,77
Aphrodite,77
Brooches,76
Execution,76
Lamentation,76
Abraham,76
Doctors,76
Censers,76
Isis,75
Farmers,75
Streams,75
Candles,75
Saint George,75
Astronomy,75
Candelabra,75
Triton,74
Washing,74
Illness,74
Fences,74
Juno,74
Zodiac,74
Judith,73
Pegasus,72
Lyres,72
Apocalypse,71
Mosques,71
Pianos,71
Jewelry,71
Acanthus,71
Lizards,71
Feathers,71
Capitals,70
Funerals,69
Last Supper,69
Bes,68
Transatlantic Cable,68
Medusa,68
Amusement Parks,67
Train Stations,67
Pavilions,66
Tea Caddy,66
Brushes,65
Benches,65
God the Father,65
Calendars,64
Hilts,64
Mermaids,64
Living Rooms,64
Ponds,63
Photography,63
Harbors,62
Bagpipes,62
Sibyl,62
Daggers,62
Students,62
Acrobats,62
Saint Anthony,62
Utilitarian Objects,61
Silenus,61
Cooking,61
Fauns,61
Saint Matthew,61
Dressing,61
Chests,61
Saint Michael,61
Hermes,60
Taweret,60
Hawks,60
Bees,60
Money,60
Last Judgement,59
Scorpions,59
Weddings,59
Autumn,59
Dice,59
Spring,59
Queen Victoria,58
Lobsters,58
Lanterns,58
Watermills,57
Eggs,57
Caves,57
Abraham Lincoln,57
Pomegranates,57
Fathers,56
Saint Christopher,56
Admirals,56
Police,56
Abbeys,56
Volcanoes,56
Scarves,56
Marquis de Lafayette,56
Assumption of the Virgin,55
Ibex,54
Deserts,54
Lilies,54
Louis XIV,54
Chalices,54
Christmas,54
Peaches,53
Libraries,53
Running,53
Rowing,53
Nike,53
Sewing,52
Wine,52
Holofernes,52
Ceremony,51
Drunkenness,51
Baboons,51
Aeneas,50
Hospitals,50
Hippos,50
Tablets,49
Tulips,49
Diadems,49
Chandelier,49
Summer,49
Julius Caesar,49
Tea Drinking,49
Drawing,49
Bread,49
Pipes,49
Newspapers,48
Hathor,48
Perseus,48
Skating,48
Billiards,48
Singers,47
Samson,47
Vulcan,47
Baptism of Christ,47
Emperors,47
Acorns,47
Orpheus,46
Beads,46
Parasols,46
Palettes,46
Cypresses,46
Trucks,46
Adonis,46
Pigeons,45
Inns,45
Tea Houses,45
Hieratic,45
Descent from the Cross,45
Singing,45
Amazons,45
Gloves,44
Orientalist,44
Bacchantes,44
Lighting,44
Ceres,44
Hot Air Balloons,44
Tombstones,43
Machines,43
Pyramids,43
Zeus,43
Indus Valley,43
Sundials,42
Poppies,42
Gourds,42
Mummies,42
Sarcophagus,42
Birth,42
Oaks,42
Shops,42
Seas,41
Easels,41
Daisies,41
Daily Life,41
Greek,40
Processions,40
Don Quixote,40
Teachers,40
Resurrection,40
Military Clothing,40
Headrests,39
Cleopatra,39
Medallions,39
Historical Figures,39
Manjushri,38
Dining Rooms,38
Massacres,38
Burial Grounds,38
Joseph,38
Love,38
Gambling,37
Europa,37
Gardeners,37
Maitreya,37
Boots,37
Chapels,37
Shunga,36
Leda,36
Scales,36
Ganesha,36
Telescopes,36
Merchants,36
Buses,36
Basins,35
Opera,35
Morning,35
Artemis,35
Footwear,35
Croziers,34
Military Equipment,34
Ariadne,34
Bearing the Cross,34
Orchids,34
Saint Mark,34
Durga,33
Emperor Augustus,33
Anger,33
Demonstrations,33
Circumcision,33
Achilles,32
Happiness,32
Streetcars,32
Saint Lawrence,32
Turkeys,32
Warehouses,32
Stools,32
Rainbows,32
Graffiti,32
Agriculture,31
Floods,31
Rats,31
Octopus,31
Vestments,31
Air Transports,31
Legs,31
Pastoral,30
Victory,30
Aqueducts,30
Rings,30
Gupta,30
Wind,30
Genre Scene,29
Pears,29
Abel,29
Spiders,29
Radha,29
Galatea,29
Cellos,28
Witches,28
Elections,28
Cain,28
Needlework,28
Panthers,28
Sirens,28
Cloisters,27
Pluto,27
Tennis,27
Egg and Dart,27
Murals,27
Shakyamuni,27
Manuscripts,27
Demotic,26
Seahorses,26
Bathrooms,26
Anubis,26
Banquets,26
Law,25
Blacksmiths,25
Pan,25
Cherries,25
Marie Antoinette,25
Poseidon,25
Geometry,25
Hell,25
Whales,25
Vessels,25
Giraffes,24
Taverns,24
Pins,24
Ankh,24
Strawberries,24
Tea,24
Dawn,24
Kettles,24
Post Offices,24
Helen,24
Stupas,23
Tunnels,23
Judas,23
Trojan War,23
Scissors,23
Water Lilies,23
Sunflowers,23
Buckets,23
Fires,23
Oceans,23
Slaves,23
Samurai,22
Persian,22
Rekhmire-Exhibition,22
Narcissus,22
Mythology,22
Theseus,22
Visitation,22
Bells,22
Amun,22
Jackals,22
Ladles,22
Fairies,22
Cameras,21
Cradles,21
Mouths,21
Eurydice,21
Gladiators,21
Watches,21
Louis XVI,21
Saturn,21
French Revolution,21
Corn,20
Zebras,20
Liturgical Objects,20
Philosophers,20
Wrestling,20
Phones,20
Television,20
Looms,20
Rosaries,20
Dressers,19
Parvati,19
Swat Valley,19
Tabernacles,19
Barrels,19
Mandolins,19
Camps,19
Pilate,19
Lemons,19
Cigarettes,19
Amphitheatres,18
Hookah,18
Easter,18
Esther,18
Cafe,18
Uniforms,18
Organs,18
Medicine,18
Baptismal Fonts,18
Military Transport,18
Andromeda,18
Magicians,18
Prostitutes,17
Antelope,17
Maurya,17
Kushan,17
Fluting,17
Government,17
Cheetahs,17
Anklet,17
Madonna,17
Crayfish,17
Bubbles,17
Mathematics,17
Concerts,17
Mathura,17
Slavery,17
Gandharan,17
Mauryan,17
Hourglass,17
Butchers,16
Spinning Wheel,16
Noah,16
Shipwrecks,16
Picnics,16
Pinecones,16
Piers,16
Flight Into Egypt,16
Gadrooning,16
Bathsheba,16
Pelicans,15
Manna,15
Actaeon,15
Drink-and-Be-Merry,15
Eggplants,15
Napoleon III,15
Thrones,15
Leisure,15
Cauldrons,15
Human Anatomy,15
Post-Gupta,15
Golf,15
