,value,count
323,seal - artefact,7
324,scarificator,7
325,instrument case,7
326,The Hippocratic oath,7
327,tobacco pipe,7
328,epidemic,7
329,eye,7
330,kidney dialysis machine,7
331,eye bath,7
332,tongue-depressor,7
333,incubation,7
334,canopic jar,7
335,drill - tool,7
336,quack,7
337,anatomy,7
338,ophthalmic instrument set,7
339,People & Personal Life,7
340,blood transfusion,7
341,Personalities,7
342,fragment,7
343,meteorology,7
344,Medicine in the war zone,7
345,bezoar,7
346,Photography collection,7
347,burns,7
348,effigy,7
349,vaginal speculum,7
350,tubes,7
351,satire,7
352,artificial hip joint,7
353,leech,7
354,aseptic,7
355,sterilisation,6
356,massage,6
357,bone scraper,6
358,anklet,6
359,medicine flask,6
360,teaching aid,6
361,alabastron,6
362,sexually transmitted infection,6
363,After death: What can happen to the body,6
364,hammer - tool,6
365,telescope - refracting,6
366,aeronautics,6
367,Art and anatomy in the European Renaissance,6
368,handbill,6
369,drug jar,6
370,pacemaker,6
371,skull elevator,6
372,dilator,6
373,teething,6
374,hand mirror,6
375,asthma,6
376,splint,6
377,inflammation,6
378,card,6
379,water bottle,6
380,bullet extractor,6
381,pestle,6
382,Traditional African medicine,6
383,cameo,6
384,cataract,6
385,embalming,6
386,votive father,6
387,photograph albums,6
388,smelling salts,6
389,field hospital,6
390,lamp-filler,6
391,cardiology,6
392,raspatory,5
393,foreign body,5
394,academic robe,5
395,statuette - statue,5
396,electrotherapy equipment - component,5
397,needles,5
398,automatic lancet,5
399,kidney failure,5
400,alchemy,5
401,hip replacement,5
402,amphora - storage vessel,5
403,sepulchral slab,5
404,costume,5
405,cast,5
406,carbolic acid,5
407,Academic graduation,5
408,amputation instrument set,5
409,artificial teeth,5
410,obstetrical forceps,5
411,lenticular,5
412,printing plate,5
413,aspirator,5
414,The cosmos and us,5
415,kohl container,5
416,nose spectacles - Nuremberg,5
417,steriliser,5
418,cramp,5
419,pharmacy,5
420,enema equipment,5
421,traditional medicine,5
422,mortality,5
423,artificial eye,5
424,seton needle,5
425,tuberculosis,5
426,circumcision scissors,5
427,resuscitation,5
428,circumcision shield,5
429,pregnancy,5
430,gouge,5
431,Hidden extras: cholera comes to Victorian London,5
432,snuff mortar,5
433,uniform,5
434,circlet,5
435,blindness,5
436,stone,5
437,inhalation,5
438,votive leg,5
439,iron lung,5
440,diorama,5
441,ornament,5
442,animal claw,5
443,ophthalmic instrument,5
444,brush,5
445,mirror - furnishing,5
446,albumen,5
447,incontinence,5
448,massager,5
449,albumen print,5
450,colour blindness test,5
451,women,5
452,diphtheria,5
453,stretcher,4
454,fibula,4
455,galvanism,4
456,syphilis,4
457,tablet - surface,4
458,dissection,4
459,dental elevator,4
460,earthenware,4
461,dentist's chair,4
462,superstition,4
463,foot,4
464,spa,4
465,skull saw,4
466,fly-whisk,4
467,dysentery,4
468,smallpox,4
469,dental burnisher,4
470,eye-shade,4
471,typesetting,4
472,resuscitator,4
473,alembic,4
474,mask,4
475,protection,4
476,Who pays for hospitals?,4
477,lithotomy instrument set,4
478,pandemic,4
479,penicillin,4
480,Reconstructive surgery,4
481,Preventing illness,4
482,Our place in the cosmos,4
483,vessel,4
484,pessary,4
485,Materia Medica & Pharmacology,4
486,touchpiece,4
487,pot lid,4
488,tumour,4
489,medicine chest,4
490,ceremonial staff,4
491,ampoule,4
492,newspaper cutting,4
493,votive animal figure,4
494,votive arm,4
495,axe - tool,4
496,uterus,4
497,mummy,4
498,operating table,4
499,base ring - container component,4
500,basket,4
501,votive bladder,4
502,mouth gag,4
503,beer strainer,4
504,antiseptic,4
505,votive deity,4
506,optical instruments,4
507,cautery shield,4
508,larynx,4
509,physiotherapy,4
510,terrestrial telescope,4
511,injection pen,4
512,Diagnostic tests,4
513,Becoming a doctor,4
514,comedy,4
515,hypoglycaemic,4
516,plastic surgery,4
517,humours,4
518,hook - fastener,4
519,clapper - percussion beater,4
520,tenaculum,4
521,shop sign,4
522,cosmetic container,4
523,heresy,4
524,platen press,4
525,cranial crochet,4
526,head,4
527,Childbirth and medicine,4
528,timers,4
529,clamp,4
530,circumcision,4
531,sculpture,4
532,charm - spell,4
533,tooth,4
534,tonsillectomy,4
535,Dentistry,4
536,insulin infusion pump,4
537,chloroform,4
538,insulin delivery device,4
539,punch cutter,4
540,circumcision equipment,4
541,printing presses,3
542,feeding cup,3
543,pomander,3
544,printing sleeve,3
545,fits,3
546,fever,3
547,open heart surgery,3
548,palette - cosmetic,3
549,portraits,3
550,ophthalmic hook,3
551,ophthalmic forceps,3
552,pens,3
553,opium,3
554,oxygen therapy,3
555,flint nodule,3
556,pathology,3
557,skin grafting,3
558,notice,3
559,gastro-intestinal surgery,3
560,safety pin,3
561,ligature,3
562,sample,3
563,sandals,3
564,leech jar,3
565,glass technology,3
566,lamp - light bulb,3
567,scarification equipment,3
568,keyboard,3
569,jugum penis,3
570,gonorrhoea,3
571,gorget,3
572,gout,3
573,infertility,3
574,incense burner,3
575,hysteria,3
576,sheet music cover,3
577,heart-lung machine,3
578,hat,3
579,rugine,3
580,lithotrite,3
581,pyxis,3
582,liver,3
583,neurosurgery,3
584,neuralgia,3
585,rabies,3
586,rectal speculum,3
587,moxa,3
588,fountain-head,3
589,refractometer,3
590,relief print,3
591,mental health,3
592,medicine spoon,3
593,sketching,3
594,medicine man costume,3
595,fuse holder,3
596,materia medica,3
597,gas gangrene,3
598,malaria,3
599,rim,3
600,eye-dropper,3
601,local anaesthetic,3
602,lorgnettes,3
603,stirrer,3
604,tonsils,3
605,Exploring the cosmos,3
606,divination board,3
607,book,3
608,divination-bone,3
609,bone forceps,3
610,wick holder,3
611,vibrator,3
612,Goa,3
613,terra sigillata,3
614,votive male figure,3
615,ear piercer,3
616,carte-de-visite,3
617,Physics & Chemistry,3
618,typewriter,3
619,toothpick,3
620,stopper - container component,3
621,black-and-white print - photograph,3
622,Daily Herald collection,3
623,toothpaste pot,3
624,carbolic spray,3
625,brain,3
626,bread,3
627,votive food,3
628,button,3
629,votive ear,3
630,Photographic Technology collection,3
631,antler pick,3
632,telescope - Galilean,3
633,treadle drill,3
634,apothecary,3
635,death mask,3
636,bubonic plague,3
637,Medicine,3
638,dental drill,3
639,bubo,3
640,antibiotic,3
641,tonsil forceps,3
642,telescope - reflecting,3
643,Snellen test types,3
644,surgical scissors,3
645,ultraviolet radiation,3
646,blood glucose meter,3
647,elective surgery,3
648,stencil,3
649,War’s long-term effects,3
650,astrology,3
651,steelyard,3
652,ventilator,3
653,electrodes,3
654,tickets,3
655,uroscopy,3
656,abdomen,3
657,charm,3
658,childbirth,3
659,vaccination,3
660,exercise chair,3
