,value,count
1370,pamphlet,1
1371,pancreas,1
1372,pannier,1
1373,papyrus,1
1374,penicillin machine,1
1375,percussion,1
1376,periosteotomy,1
1377,perpetual calendar,1
1378,personal weigher,1
1379,phototherapy,1
1380,physical training,1
1381,munitions,1
1382,physician,1
1383,physiognomy,1
1384,physiology,1
1385,pill cutter,1
1386,pillar,1
1387,pipette,1
1388,placenta,1
1389,placenta bowl,1
1390,plasma,1
1391,plaster,1
1392,podiatry,1
1393,packet,1
1394,oxygeno-therapy,1
1395,oxygen absorption machine,1
1396,oxydonor,1
1397,muscular dystrophy,1
1398,myoma screw,1
1399,name plate,1
1400,needle case,1
1401,needle holder,1
1402,nervous diseases,1
1403,nicotine,1
1404,nkisi,1
1405,nocturnal,1
1406,nosebleed,1
1407,nystagus drum,1
1408,obstetrical examination table,1
1409,oesophagus,1
1410,ointment case,1
1411,ointment slab,1
1412,ophthalmic tonometer,1
1413,optical toy,1
1414,optics,1
1415,orthopaedic saw,1
1416,orthoptoscope,1
1417,oscillograph,1
1418,ovarian surgery,1
1419,ovum forceps,1
1420,krater,1
1421,knife grinder,1
1422,keys (hardware),1
1423,foetus,1
1424,feeding funnel,1
1425,feeding tube,1
1426,fibroid,1
1427,file - tool,1
1428,finial,1
1429,first field dressing,1
1430,fistula,1
1431,flail - weapon,1
1432,flint,1
1433,flong,1
1434,floppy disk,1
1435,folding bellows camera,1
1436,germ theory,1
1437,form - document,1
1438,fountain pen,1
1439,frame - furnishing,1
1440,fruit,1
1441,fungus - plant material,1
1442,gallstone,1
1443,gallstone forceps,1
1444,galvanocautery instrument,1
1445,gas cylinder,1
1446,gas mask,1
1447,gauze,1
1448,falcon,1
1449,face phantom,1
1450,eyeglass,1
1451,eye massager,1
1452,drug,1
1453,dwarfism,1
1454,ear cap,1
1455,egg stand,1
1456,elder twig,1
1457,electromagnet,1
1458,electromagnetic induction,1
1459,electrophysiology,1
1460,elephantiasis,1
1461,elephantiatis,1
1462,elevators,1
1463,emetic,1
1464,endotracheal tube,1
1465,engine - power producing equipment,1
1466,epilation,1
1467,equipment,1
1468,ergotism,1
1469,essence box,1
1470,etchings,1
1471,ether spray,1
1472,exercise aid,1
1473,exercise club,1
1474,extensometer,1
1475,germ,1
1476,goitre,1
1477,keyring,1
1478,insufflator,1
1479,hospital ward,1
1480,hunting trousse,1
1481,hyperbaric organ storage unit,1
1482,hyperglycaemic,1
1483,hypothermia,1
1484,hysterotome,1
1485,<cooking tool and equipment>,1
1486,incubator,1
1487,infusion apparatus,1
1488,installation - visual work,1
1489,instrument component,1
1490,insulating table,1
1491,growth hormone,1
1492,insulin inhaler,1
1493,intra-aortic balloon pump,1
1494,iodine,1
1495,iodine treatment apparatus,1
1496,iris root,1
1497,janus flask,1
1498,jaw-bone,1
1499,jewellery,1
1500,kachina doll,1
1501,kantharos,1
1502,kettle - vessel,1
1503,hospital bed,1
1504,hormone,1
1505,hoof,1
1506,holder - container,1
1507,haemorrhage,1
1508,haemostasis,1
1509,hair ornament,1
1510,half model,1
1511,hand,1
1512,hand tools,1
1513,hand-warmer,1
1514,handcuffs,1
1515,hanger,1
1516,hatband,1
1517,headrest,1
1518,health,1
1519,health and safety,1
1520,hearing aid,1
1521,hearing trumpet,1
1522,heart surgery,1
1523,heat exchangers,1
1524,heating systems,1
1525,helmet,1
1526,hepatoscopy,1
1527,herbal medicine,1
1528,hereditary,1
1529,hernia,1
1530,yellow fever,1
